Age,Gender,Marital_Status,Household_Size,Governorate,Salary,Degree_Level,Employment_Status,Primary_Income_Source,Has_Other_Social_Benefits,Assets_Value,Liabilities_Value,Number_of_Children,Total_Spouse_Income,Working_Children_Count,Total_Children_Income,Total_Household_Income,Vehicle_Ownership,Vehicle_Count,Cylinder_Count,Vehicle_Age_Years,Fuel_Type,Expected_Fuel_Consumption_L,Average_Fuel_Consumption_L,Fuel_Deviation_L,Fuel_Deviation_Ratio,Previous_Subsidy_Received,Previous_Subsidy_Amount,Late_or_Missed_Renewals,Applications_Last_12_Months,Fraud,Eligible
61.0,Female,Single,2,Nizwa,83.61,None,Student,Private,1,3312.27,3578.74,0,0.0,0,0.0,83.61,1,1,4,10,Petrol,126.0,115.15,-10.85,0.914,0,5.0,1,2,0,1
61.0,Male,Married,4,Nizwa,80.0,Diploma,Employed,Government,0,1599.68,3888.99,0,180.92,0,0.0,260.92,1,2,4,7,Diesel,122.4,130.24,7.84,1.064,0,5.0,0,1,0,1
47.0,Male,Married,3,Dhofar,120.56,Bachelor,Employed,None,1,1679.15,5793.03,3,342.23,0,0.0,462.79,1,1,6,9,Petrol,187.2,208.88,21.68,1.116,1,25.75,0,2,0,1
40.0,Female,Married,3,Sohar,90.15,HighSchool,Unemployed,Government,0,1952.43,4400.24,4,290.14,2,262.29,642.58,1,1,6,1,Petrol,172.8,189.75,16.95,1.098,1,23.02,0,0,0,1
44.0,Male,Married,1,Nizwa,150.29,HighSchool,Employed,Private,0,2494.31,1197.11,3,247.85,0,0.0,398.14,1,3,4,6,Petrol,121.2,304.925,183.73,2.516,1,23.15,2,3,1,1
53.0,Male,Widowed,4,Muscat,103.64,Bachelor,Employed,Government,0,5805.06,1309.34,1,0.0,0,0.0,103.64,1,1,4,6,Petrol,121.2,124.67,3.47,1.029,1,16.24,0,1,0,1
24.0,Male,Single,4,Muscat,80.0,Master,Student,Private,0,3658.18,1122.95,0,0.0,0,0.0,80.0,1,1,4,7,Petrol,122.4,109.82,-12.58,0.897,1,20.56,0,0,0,1
49.0,Female,Divorced,1,Sohar,80.0,None,Employed,SelfEmployed,0,3636.92,1589.47,2,0.0,0,0.0,80.0,1,1,4,5,Petrol,120.0,100.76,-19.24,0.84,1,25.7,0,1,0,1
20.0,Male,Single,6,Muscat,128.98,Diploma,Unemployed,Private,0,1347.65,4472.84,0,0.0,0,0.0,128.98,1,2,4,18,Petrol,135.6,145.18,9.58,1.071,1,27.08,0,0,0,1
27.0,Male,Single,1,Dhofar,80.0,Diploma,Student,Government,0,2344.29,1353.59,0,0.0,0,0.0,80.0,1,1,6,7,Petrol,183.6,179.32,-4.28,0.977,0,5.0,0,0,0,1
46.0,Male,Widowed,6,Sohar,80.0,Diploma,Student,Government,0,1523.39,2900.81,4,0.0,1,66.48,146.48,1,2,4,15,Diesel,132.0,125.89,-6.11,0.954,0,5.0,0,3,0,1
18.0,Male,Married,3,Muscat,171.03,HighSchool,Student,Government,0,3453.18,956.01,2,226.33,0,0.0,397.36,1,1,6,8,Diesel,185.4,432.875,247.48,2.335,0,5.0,2,5,1,1
33.0,Male,Married,3,Muscat,80.0,HighSchool,Employed,Government,0,2391.33,1698.36,1,471.6,0,0.0,551.6,1,1,4,15,Diesel,132.0,143.6,11.6,1.088,1,11.67,1,2,0,1
25.0,Female,Divorced,6,Muscat,80.0,HighSchool,Employed,SelfEmployed,1,5525.91,1932.15,0,0.0,0,0.0,80.0,1,1,6,6,Petrol,181.8,177.42,-4.38,0.976,1,18.17,0,0,0,1
32.0,Female,Married,4,Nizwa,109.71,HighSchool,Employed,SelfEmployed,0,2788.43,7289.59,2,192.14,0,0.0,301.85,1,2,4,7,Petrol,122.4,114.22,-8.18,0.933,1,30.89,0,1,0,1
18.0,Male,Single,8,Muscat,80.0,Diploma,Student,SelfEmployed,0,2024.2,451.62,0,0.0,0,0.0,80.0,1,1,4,1,Petrol,115.2,105.58,-9.62,0.916,1,29.57,0,1,0,1
18.0,Female,Single,2,Muscat,104.97,Bachelor,Student,SelfEmployed,0,5403.74,3074.08,0,0.0,0,0.0,104.97,1,1,8,4,Petrol,247.5,231.37,-16.13,0.935,1,24.38,0,2,0,1
27.0,Male,Married,4,Nizwa,80.0,Bachelor,Unemployed,Private,0,2951.57,5027.67,4,402.41,0,0.0,482.41,1,2,4,5,Diesel,120.0,136.97,16.97,1.141,1,21.77,0,0,0,1
46.0,Male,Married,4,Sur,96.43,Bachelor,Employed,Government,0,1702.55,1058.21,1,570.92,1,162.5,829.85,1,1,6,11,Diesel,190.8,159.38,-31.42,0.835,1,21.16,0,1,0,1
33.0,Male,Divorced,5,Muscat,87.54,None,Employed,Government,1,1302.88,1146.37,3,0.0,0,0.0,87.54,1,2,4,7,Diesel,122.4,122.85,0.45,1.004,1,19.96,0,0,0,1
35.0,Female,Single,6,Sur,80.0,None,Retired,Government,1,2817.79,878.58,0,0.0,0,0.0,80.0,1,2,4,2,Petrol,116.4,125.17,8.77,1.075,0,5.0,0,1,0,1
43.0,Male,Married,4,Muscat,123.94,Diploma,Employed,Government,1,3755.61,4914.39,4,185.99,0,0.0,309.93,1,1,6,8,Petrol,185.4,157.78,-27.62,0.851,1,29.42,0,1,0,1
24.0,Female,Single,4,Nizwa,80.0,HighSchool,Student,Government,0,3181.32,1351.07,0,0.0,0,0.0,80.0,1,1,4,14,Petrol,130.8,306.575,175.77,2.344,1,15.34,2,4,1,1
38.0,Male,Married,4,Sohar,94.71,HighSchool,Employed,Government,0,2134.59,5831.12,0,303.96,0,0.0,398.67,1,1,4,17,Diesel,134.4,128.02,-6.38,0.953,0,5.0,0,0,0,1
25.0,Female,Married,5,Sohar,111.26,HighSchool,Unemployed,Government,1,2980.16,4538.64,2,325.13,0,0.0,436.39,1,2,4,12,Diesel,128.4,128.76,0.36,1.003,1,46.68,0,1,0,1
18.0,Female,Single,5,Dhofar,80.0,Bachelor,Student,SelfEmployed,0,1841.34,3036.59,0,0.0,0,0.0,80.0,1,1,4,11,Petrol,127.2,131.13,3.93,1.031,0,5.0,0,1,0,1
30.0,Male,Married,4,Nizwa,88.11,HighSchool,Retired,Private,0,1927.68,2032.56,3,64.39,0,0.0,152.5,1,2,8,14,Diesel,272.5,283.81,11.31,1.042,1,10.65,1,1,0,1
42.0,Male,Divorced,5,Dhofar,135.64,Bachelor,Employed,Private,1,1165.59,1172.79,3,0.0,0,0.0,135.64,1,1,4,11,Diesel,127.2,141.46,14.26,1.112,1,14.35,1,0,0,1
39.0,Female,Single,3,Sohar,86.35,HighSchool,Employed,Government,0,2568.42,3145.34,0,0.0,0,0.0,86.35,1,1,4,6,Diesel,121.2,123.88,2.68,1.022,0,5.0,0,0,0,1
35.0,Male,Married,5,Sohar,110.98,HighSchool,Student,Private,0,4127.55,1484.08,3,589.47,0,0.0,700.45,1,1,4,11,Petrol,127.2,116.2,-11.0,0.914,1,27.36,0,1,0,1
64.0,Female,Single,6,Muscat,81.87,HighSchool,Employed,Private,0,2777.23,4147.52,0,0.0,0,0.0,81.87,1,1,8,10,Petrol,262.5,264.97,2.47,1.009,0,5.0,0,1,0,1
40.0,Male,Married,2,Nizwa,109.61,Bachelor,Student,Private,1,2860.9,1197.56,1,307.24,1,72.66,489.51,1,1,4,5,Petrol,120.0,121.26,1.26,1.01,0,5.0,1,0,0,1
47.0,Female,Single,4,Dhofar,80.0,HighSchool,Student,Private,0,6849.56,996.05,0,0.0,0,0.0,80.0,1,1,6,10,Diesel,189.0,181.9,-7.1,0.962,0,5.0,0,0,0,1
62.0,Male,Single,4,Dhofar,91.11,HighSchool,Employed,Government,1,7335.11,2849.65,0,0.0,0,0.0,91.11,1,1,4,3,Petrol,117.6,109.72,-7.88,0.933,1,11.93,0,1,0,1
19.0,Male,Married,3,Sohar,131.28,HighSchool,Student,Private,0,2228.53,1142.73,1,200.58,0,0.0,331.86,1,1,6,13,Petrol,194.4,195.93,1.53,1.008,1,32.85,0,1,0,1
23.0,Male,Single,9,Sur,150.27,HighSchool,Employed,Private,0,3246.21,614.23,0,0.0,0,0.0,150.27,1,1,4,7,Petrol,122.4,139.84,17.44,1.142,0,5.0,0,0,0,1
56.0,Male,Single,5,Muscat,82.33,Diploma,Employed,Government,0,9023.45,1773.04,0,0.0,0,0.0,82.33,1,2,4,10,Petrol,126.0,107.79,-18.21,0.855,1,37.57,0,1,0,1
25.0,Male,Married,4,Muscat,86.93,Bachelor,Unemployed,Private,0,1611.49,5722.54,4,265.44,0,0.0,352.37,1,1,6,10,Diesel,189.0,180.87,-8.13,0.957,1,36.13,0,1,0,1
35.0,Male,Single,2,Dhofar,86.17,Diploma,Retired,Government,1,1330.57,2916.02,0,0.0,0,0.0,86.17,1,2,6,10,Petrol,189.0,240.38,51.38,1.272,0,5.0,0,2,0,1
48.0,Female,Married,2,Muscat,124.27,HighSchool,Unemployed,Government,0,2078.93,3245.77,2,178.86,1,102.64,405.77,1,1,4,13,Petrol,129.6,120.57,-9.03,0.93,1,49.26,1,1,0,1
46.0,Female,Married,2,Nizwa,80.0,Diploma,Employed,Government,0,2392.69,1934.35,3,47.27,0,0.0,127.27,1,2,6,13,Diesel,194.4,186.62,-7.78,0.96,1,15.82,1,2,0,1
56.0,Female,Divorced,5,Dhofar,146.35,None,Employed,Private,0,6255.78,861.47,1,0.0,0,0.0,146.35,1,1,4,9,Petrol,124.8,138.5,13.7,1.11,1,37.02,1,0,0,1
53.0,Male,Married,3,Muscat,80.0,HighSchool,Employed,Private,0,1878.79,9227.73,3,244.6,0,0.0,324.6,1,2,4,3,Petrol,117.6,135.0,17.4,1.148,1,30.12,0,1,0,1
48.0,Male,Married,7,Sohar,80.0,HighSchool,Employed,Government,1,1743.52,4789.47,1,155.54,1,104.02,339.56,1,1,6,12,Diesel,192.6,149.54,-43.06,0.776,1,25.92,0,1,0,1
26.0,Female,Married,5,Muscat,133.22,HighSchool,Employed,Government,0,14392.75,1330.58,1,390.07,0,0.0,523.29,1,1,6,1,Diesel,172.8,191.14,18.34,1.106,1,9.32,1,1,0,1
45.0,Female,Married,6,Sohar,89.48,Bachelor,Student,Government,1,2354.29,6378.28,3,368.3,1,96.35,554.13,1,2,4,9,Petrol,124.8,129.32,4.52,1.036,1,26.94,0,0,0,1
39.0,Female,Single,7,Dhofar,92.0,Bachelor,Employed,Private,0,3595.12,2384.18,0,0.0,0,0.0,92.0,1,1,6,13,Petrol,194.4,168.24,-26.16,0.865,1,35.36,1,1,0,1
19.0,Male,Married,9,Sohar,97.63,Bachelor,Unemployed,Government,1,3561.69,2485.55,1,316.64,0,0.0,414.27,1,1,6,7,Petrol,183.6,203.86,20.26,1.11,0,5.0,0,3,0,1
52.0,Male,Divorced,3,Muscat,102.86,Bachelor,Unemployed,Private,1,4649.41,2070.25,3,0.0,2,311.37,414.23,1,1,6,5,Diesel,180.0,411.70000000000005,231.7,2.287,0,5.0,2,5,1,1
45.0,Male,Married,1,Sohar,80.0,Bachelor,Employed,Government,1,3181.14,1388.04,3,143.88,1,81.84,305.72,1,1,6,13,Petrol,194.4,161.6,-32.8,0.831,1,23.34,0,2,0,1
36.0,Male,Married,1,Muscat,83.55,HighSchool,Retired,Government,0,1927.6,2283.31,2,170.13,1,68.56,322.24,1,2,6,5,Petrol,180.0,196.01,16.01,1.089,1,33.4,1,0,0,1
32.0,Female,Married,5,Sur,142.11,Diploma,Employed,Private,0,3249.42,1183.61,3,417.63,0,0.0,559.74,1,1,4,5,Petrol,120.0,100.13,-19.87,0.834,1,14.79,0,2,0,1
21.0,Male,Single,1,Sur,139.28,Master,Student,Private,0,3893.25,501.01,0,0.0,0,0.0,139.28,1,3,4,8,Petrol,123.6,120.0,-3.6,0.971,1,24.24,1,2,0,1
37.0,Female,Divorced,3,Muscat,193.07,Bachelor,Employed,Government,1,2874.85,2074.92,5,0.0,0,0.0,193.07,1,1,4,5,Petrol,120.0,113.89,-6.11,0.949,1,22.99,1,1,0,1
41.0,Female,Married,3,Muscat,157.34,Master,Employed,Government,0,2725.64,1405.23,1,288.29,0,0.0,445.63,1,1,6,12,Petrol,192.6,215.2,22.6,1.117,0,5.0,3,1,0,1
25.0,Male,Married,1,Sur,120.75,HighSchool,Employed,Private,0,5313.25,2686.94,3,243.91,0,0.0,364.66,1,1,6,8,Petrol,185.4,190.94,5.54,1.03,1,13.58,0,0,0,1
49.0,Female,Single,1,Muscat,128.23,Bachelor,Unemployed,Government,0,1771.66,1479.94,0,0.0,0,0.0,128.23,1,1,6,1,Petrol,172.8,128.09,-44.71,0.741,0,5.0,0,3,0,1
22.0,Female,Single,5,Sohar,116.14,Diploma,Unemployed,Private,1,4392.45,1846.02,0,0.0,0,0.0,116.14,1,1,4,11,Diesel,127.2,142.53,15.33,1.121,1,25.28,0,2,0,1
18.0,Male,Single,4,Sohar,97.91,Bachelor,Student,Government,0,3468.91,12063.83,0,0.0,0,0.0,97.91,1,1,4,9,Diesel,124.8,130.64,5.84,1.047,1,33.25,0,1,0,1
47.0,Male,Single,6,Muscat,80.0,HighSchool,Employed,SelfEmployed,0,4354.85,3673.6,0,0.0,0,0.0,80.0,1,2,8,11,Petrol,265.0,244.97,-20.03,0.924,1,31.89,0,0,0,1
30.0,Female,Married,6,Sohar,104.67,None,Unemployed,Government,0,2462.68,5875.76,1,435.48,0,0.0,540.15,1,1,4,9,Petrol,124.8,127.22,2.42,1.019,1,32.1,0,2,0,1
33.0,Male,Single,5,Sohar,80.0,Diploma,Employed,Private,0,4388.84,1560.01,0,0.0,0,0.0,80.0,1,2,4,11,Petrol,127.2,123.43,-3.77,0.97,1,19.82,0,3,0,1
25.0,Female,Single,3,Sur,111.58,Bachelor,Employed,Private,0,3596.58,2039.69,0,0.0,0,0.0,111.58,1,1,4,6,Diesel,121.2,108.25,-12.95,0.893,0,5.0,0,1,0,1
18.0,Male,Single,6,Sohar,132.04,None,Student,Private,0,2295.49,1164.31,0,0.0,0,0.0,132.04,1,1,8,5,Petrol,250.0,300.18,50.18,1.201,1,24.35,0,1,0,1
50.0,Male,Married,3,Sur,80.0,Bachelor,Unemployed,Government,0,1363.28,3086.93,1,140.57,0,0.0,220.57,1,1,6,6,Petrol,181.8,174.3,-7.5,0.959,1,14.84,0,0,0,1
27.0,Female,Married,5,Sohar,129.37,HighSchool,Employed,Private,0,1010.99,1276.85,1,169.7,0,0.0,299.07,1,1,4,10,Petrol,126.0,134.53,8.53,1.068,1,21.56,1,0,0,1
55.0,Male,Married,1,Sohar,81.04,HighSchool,Employed,Private,0,2805.14,5084.64,2,254.82,2,327.02,662.88,1,2,6,10,Petrol,189.0,216.21,27.21,1.144,0,5.0,0,2,0,1
45.0,Female,Single,1,Sur,131.39,Bachelor,Employed,Private,1,1975.19,11413.7,0,0.0,0,0.0,131.39,1,1,4,10,Petrol,126.0,122.77,-3.23,0.974,1,31.79,0,3,0,1
31.0,Male,Married,3,Nizwa,127.31,HighSchool,Employed,Government,0,2367.3,1412.49,0,500.53,0,0.0,627.84,1,1,4,15,Petrol,132.0,146.79,14.79,1.112,0,5.0,0,2,0,1
22.0,Male,Single,8,Sur,80.0,HighSchool,Student,Government,1,2028.45,2163.79,0,0.0,0,0.0,80.0,1,2,4,2,Petrol,116.4,120.82,4.42,1.038,1,19.75,0,4,0,1
26.0,Male,Single,5,Sohar,80.0,Diploma,Retired,Government,0,2771.1,1840.8,0,0.0,0,0.0,80.0,1,1,8,9,Diesel,260.0,255.19,-4.81,0.982,1,25.37,0,0,0,1
20.0,Male,Single,2,Muscat,110.38,HighSchool,Student,Government,0,2842.97,4071.23,0,0.0,0,0.0,110.38,1,1,4,7,Petrol,122.4,136.55,14.15,1.116,1,22.17,0,0,0,1
60.0,Male,Divorced,1,Sur,80.0,Diploma,Employed,Private,0,4811.67,2166.86,1,0.0,0,0.0,80.0,1,1,6,6,Diesel,181.8,205.83,24.03,1.132,1,11.5,0,0,0,1
37.0,Male,Single,5,Sohar,83.0,Diploma,Student,Government,0,1922.8,8087.36,0,0.0,0,0.0,83.0,1,2,4,9,Petrol,124.8,341.325,216.52,2.735,1,16.87,2,3,1,1
49.0,Female,Married,4,Sur,153.67,Bachelor,Unemployed,Government,1,3811.23,2248.56,2,553.73,1,84.62,792.02,1,1,6,8,Diesel,185.4,175.55,-9.85,0.947,0,5.0,0,1,0,1
20.0,Male,Single,3,Muscat,132.1,Bachelor,Unemployed,Government,1,1697.98,795.03,0,0.0,0,0.0,132.1,1,1,6,9,Petrol,187.2,157.57,-29.63,0.842,1,29.36,1,1,0,1
37.0,Male,Single,1,Nizwa,161.12,Diploma,Unemployed,Private,0,772.76,2400.38,0,0.0,0,0.0,161.12,1,2,4,4,Petrol,118.8,134.45,15.65,1.132,1,9.84,0,2,0,1
49.0,Male,Single,3,Dhofar,80.0,Bachelor,Employed,SelfEmployed,0,3704.79,1310.21,0,0.0,0,0.0,80.0,1,1,4,1,Diesel,115.2,109.76,-5.44,0.953,1,18.89,0,1,0,1
31.0,Male,Single,6,Muscat,80.0,Diploma,Employed,Government,0,1793.76,956.19,0,0.0,0,0.0,80.0,1,1,6,7,Diesel,183.6,179.96,-3.64,0.98,0,5.0,0,3,0,1
47.0,Female,Married,4,Muscat,111.71,Bachelor,Student,Government,1,5422.46,2198.45,1,272.8,0,0.0,384.51,1,1,4,6,Diesel,121.2,309.225,188.03,2.551,1,14.51,2,4,1,1
22.0,Male,Married,2,Muscat,80.0,HighSchool,Student,Private,0,2101.81,2974.59,0,200.09,0,0.0,280.09,1,1,6,9,Petrol,187.2,176.25,-10.95,0.942,1,31.61,0,0,0,1
19.0,Male,Single,6,Sohar,80.0,None,Student,Government,1,2482.09,2391.98,0,0.0,0,0.0,80.0,1,2,8,10,Petrol,262.5,300.63,38.13,1.145,1,35.04,0,0,0,1
40.0,Male,Married,6,Nizwa,149.24,None,Unemployed,Private,0,1412.04,764.82,7,209.79,2,292.5,651.53,1,2,8,7,Petrol,255.0,260.46,5.46,1.021,0,5.0,0,1,0,1
30.0,Male,Married,8,Sur,134.6,Bachelor,Retired,Private,0,4159.29,1323.36,1,573.31,0,0.0,707.91,1,1,4,8,Petrol,123.6,127.37,3.77,1.031,0,5.0,1,3,0,1
43.0,Male,Single,3,Muscat,81.48,Bachelor,Employed,SelfEmployed,0,4088.43,2637.6,0,0.0,0,0.0,81.48,1,1,4,16,Diesel,133.2,130.77,-2.43,0.982,0,5.0,1,1,0,1
18.0,Male,Married,5,Nizwa,112.85,HighSchool,Student,Government,0,3536.0,1437.81,4,135.09,0,0.0,247.94,1,1,6,4,Diesel,178.2,210.18,31.98,1.179,1,32.44,0,0,0,1
44.0,Female,Widowed,5,Muscat,163.21,Master,Employed,None,0,4146.42,6274.14,3,0.0,0,0.0,163.21,1,1,6,18,Diesel,203.4,193.72,-9.68,0.952,1,19.01,0,2,0,1
66.0,Female,Single,3,Dhofar,80.0,Diploma,Employed,Government,1,1575.22,2607.41,0,0.0,0,0.0,80.0,1,2,6,18,Petrol,203.4,208.72,5.32,1.026,1,15.12,0,1,0,1
35.0,Female,Widowed,2,Sohar,154.01,Bachelor,Student,SelfEmployed,0,3289.1,559.11,2,0.0,0,0.0,154.01,1,1,4,12,Diesel,128.4,122.7,-5.7,0.956,0,5.0,0,0,0,1
35.0,Female,Married,5,Nizwa,80.0,Bachelor,Unemployed,Private,0,1953.65,2023.33,1,312.67,0,0.0,392.67,1,2,4,13,Petrol,129.6,127.23,-2.37,0.982,1,25.11,0,0,0,1
37.0,Male,Married,5,Muscat,80.0,HighSchool,Employed,Government,0,5696.43,1232.4,4,161.44,1,74.06,315.5,1,1,4,1,Diesel,115.2,122.3,7.1,1.062,1,24.67,1,0,0,1
18.0,Male,Single,6,Muscat,98.25,Diploma,Student,Government,0,2346.71,2137.46,0,0.0,0,0.0,98.25,1,2,6,5,Diesel,180.0,203.75,23.75,1.132,1,33.34,0,0,0,1
40.0,Male,Single,7,Dhofar,80.0,None,Retired,None,0,4278.18,3596.82,0,0.0,0,0.0,80.0,1,1,4,10,Diesel,126.0,160.38,34.38,1.273,0,5.0,0,0,0,1
18.0,Female,Single,8,Sohar,85.96,Bachelor,Student,Private,0,4022.41,533.51,0,0.0,0,0.0,85.96,1,2,4,6,Petrol,121.2,115.56,-5.64,0.953,1,22.49,0,1,0,1
30.0,Female,Married,2,Nizwa,80.0,Bachelor,Employed,Private,0,1538.53,914.95,2,434.22,0,0.0,514.22,1,1,4,8,Diesel,123.6,121.94,-1.66,0.987,1,22.11,0,1,0,1
50.0,Female,Single,6,Sohar,133.02,Bachelor,Employed,Private,1,1736.43,1501.91,0,0.0,0,0.0,133.02,1,2,4,2,Diesel,116.4,128.63,12.23,1.105,0,5.0,1,0,0,1
26.0,Male,Married,7,Muscat,80.0,HighSchool,Student,None,0,2996.18,2846.74,2,135.56,0,0.0,215.56,1,3,6,6,Petrol,181.8,183.06,1.26,1.007,1,5.0,0,0,0,1
41.0,Male,Married,4,Muscat,80.0,HighSchool,Employed,Government,0,5350.96,5439.63,5,338.62,1,177.15,595.77,1,2,4,1,Petrol,115.2,131.93,16.73,1.145,1,28.84,0,1,0,1
47.0,Female,Married,4,Sohar,85.16,Bachelor,Student,Private,1,3059.66,4738.05,1,168.91,0,0.0,254.07,1,3,8,6,Petrol,252.5,279.88,27.38,1.108,1,20.13,1,0,0,1
38.0,Male,Married,5,Muscat,198.12,Bachelor,Unemployed,Private,1,4797.1,789.61,0,215.81,0,0.0,413.93,1,1,6,13,Diesel,194.4,194.8,0.4,1.002,0,5.0,0,1,0,1
19.0,Male,Single,5,Muscat,80.0,HighSchool,Employed,Government,1,2625.77,2757.5,0,0.0,0,0.0,80.0,1,1,6,5,Petrol,180.0,207.51,27.51,1.153,1,28.5,1,0,0,1
31.0,Female,Divorced,5,Muscat,97.15,None,Employed,None,0,2471.56,2531.16,4,0.0,0,0.0,97.15,1,3,6,9,Diesel,187.2,197.44,10.24,1.055,0,5.0,1,1,0,1
59.0,Female,Single,3,Dhofar,80.0,HighSchool,Retired,Government,1,4731.31,1787.84,0,0.0,0,0.0,80.0,1,1,4,14,Petrol,130.8,139.29,8.49,1.065,1,30.57,0,0,0,1
18.0,Female,Single,4,Muscat,80.0,Bachelor,Student,Government,1,4334.41,3104.85,0,0.0,0,0.0,80.0,1,1,4,1,Petrol,115.2,128.52,13.32,1.116,0,5.0,1,0,0,1
32.0,Male,Widowed,4,Nizwa,80.0,HighSchool,Employed,SelfEmployed,0,1832.6,1217.28,2,0.0,0,0.0,80.0,1,1,4,10,Petrol,126.0,136.04,10.04,1.08,1,23.42,0,1,0,1
28.0,Male,Single,7,Nizwa,127.85,HighSchool,Student,SelfEmployed,0,4665.36,1603.88,0,0.0,0,0.0,127.85,1,1,4,9,Petrol,124.8,106.48,-18.32,0.853,1,30.83,0,1,0,1
36.0,Male,Married,9,Muscat,151.83,Bachelor,Employed,Government,1,4688.47,4900.7,1,200.28,0,0.0,352.11,1,1,4,7,Petrol,122.4,115.8,-6.6,0.946,1,35.9,0,0,0,1
44.0,Male,Married,2,Dhofar,94.5,HighSchool,Employed,Government,0,1519.99,3102.83,1,330.74,1,85.72,510.96,1,1,8,13,Petrol,270.0,219.58,-50.42,0.813,1,35.11,0,0,0,1
54.0,Male,Married,5,Muscat,83.05,HighSchool,Employed,Government,0,4147.41,332.36,2,248.09,0,0.0,331.14,1,1,6,14,Petrol,196.2,181.41,-14.79,0.925,1,14.87,0,1,0,1
32.0,Male,Widowed,2,Dhofar,113.21,Bachelor,Employed,Government,1,2882.47,2103.68,0,0.0,0,0.0,113.21,1,2,8,9,Petrol,260.0,315.16,55.16,1.212,1,29.45,0,0,0,1
